token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0x48f775efbe4f5ece6e0df2f7b5932df56823b990,0x75e2ecbe0d8b83f4bb30bf8ab0f7e3cfa9271429,0xb32e86a789432bb61517c774e57f3fc0d2aa872b,1,0xd0cfbc24e48fd208dd8b55812b5ec2390bf9dc8f31607e8aa6f5e50c790930be,63,6000000
0x06012c8cf97bead5deae237070f9587f8e7a266d,0x0000000000000000000000000000000000000000,0x9d2ac7c3e17163f104e6abf5374f502b9f1db102,851837,0x7fa569ac010ceac5ac405e4fb5d8d7e050e8362c0d39daf9609b965bd847c7b8,1,6000001
0x0d88ed6e74bbfd96b831231638b66c05571e824f,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0xa5163d04d51edd2d11542b4fadca80bc3e8f3860,200000000000000000000,0x5e3e92f6c0b0dcdb19ea2aecc138917e2b2f1109c9d2289718934c1c116d65ec,3,6000001
0x68aa3f232da9bdc2343465545794ef3eea5209bd,0x2984581ece53a4390d1f568673cf693139c97049,0x1b557854cb7663564c18c775457603ba9cc73115,1253948605340000000000,0x5d6ba195a679ff4dcffea1d09a2d18dffcc40c9ba9b47f8a406e8e7bb8708c8e,10,6000001
0xfedae5642668f8636a11987ff386bfd215f942ee,0xfe92b480915589c9c45d6733c358910df711b591,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,18900000000000000000000,0x29ff5d3a4251f0169fa404b7af6132ebc9ae1613fc7ff3be83b95b2c38b2ac5a,11,6000001
0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,0x59a5208b32e627891c389ebafc644145224006e8,0xef79e7a7ff9303de5ab29c9ad3cf64444cb93ea6,1370000000000000000000,0x99275b098cfd4b475ea52e31cbd3f105c6731247cbb24c77d32f9703651d0396,12,6000001
0xd7b3669c7d3e38ab5a441383d41f25e003e02148,0x0000000000000000000000000000000000000000,0x285cbf378345a1be92797f88caa6f6b802b4adf6,48149000000000000000000,0xa5275c4f768217709dddcbe10e4cb126d5f02231e1025c75d515bf09199dd495,14,6000001
0x3883f5e181fccaf8410fa61e12b59bad963fb645,0x080f24b1bec4e6b1fe1761ee5c9a2e4cf48f2de4,0xab5c66752a9e8167967685f1450532fb96d5d24f,6282660000000000000000,0x7f09e0b60dce91324141f7e040c2a06b0b05d7e0a4e476e6bf5b77a3a3486c59,16,6000001
0x8713d26637cf49e1b6b4a7ce57106aabc9325343,0xe31bcf5f56d035839fa87f9ee4e3a1b994b316f2,0x46705dfff24256421a05d056c29e81bdc09723b8,102811110000000000000000,0x86c8948e2ac92c808e305074ffb2b2b1f33cc5e27847131e66c7fbca56aaf08f,17,6000001
0xa4ea687a2a7f29cf2dc66b39c68e4411c0d00c49,0x98e74997fdec3166792d3617079176405e1387d0,0x568d6db00d473f869b873b14875532e46f3f119c,5000000000000000000,0xa3e3b28a9a1307731b1bbb88698a4f1974a1f207f9d91a172502df138d418077,33,6000001
0xfe5f141bf94fe84bc28ded0ab966c16b17490657,0x151151ed8d6174f7802baea9c7a4dbdbae569dfd,0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,25903000000000000000000,0x6bde5c43b2b4016f64da2e77b4a70a65bf2967bbcc90d3e67d0a7dd8907ba880,37,6000001
0xea26c4ac16d4a5a106820bc8aee85fd0b7b2b664,0x4edbc97446dea5606c303bc60b9b056b69161240,0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,71878640000000000000000,0x0b2d59e1328a533a83486941626e4d97b25ed1122107971bad26cd5b9bee542c,38,6000001
0x6fb3e0a217407efff7ca062d46c26e5d60a14d69,0x4edbc97446dea5606c303bc60b9b056b69161240,0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,184808300000000000000000,0x81f0152a1805aac225bf745746758922870a6f1a33a6503598037aa9aa2b756a,39,6000001
0x69c4bb240cf05d51eeab6985bab35527d04a8c64,0xc4737bcb81c1468d97a2bc8aa33d127eb91f5bff,0x6bdf517412afb3da1902676ffb3692773053e9d0,19448510000,0xdf0130bbd8567762920ff1440e10f6eb2ff87210e58de7cf1d31c42cac017232,41,6000001
0xcdf3be99c296828301847025b547faa0c3deb04e,0xb35a81be06446c24d5104b14e08400317bbf17f5,0x73ea96b532c5ef48c53ebb181b524b6deceaf199,100000000,0xb385126244219b0a4946688e8c7a7e458a1bf6e68e9502fc643779b07592c52c,44,6000001
0x9596c13904d4edd77f27bfbbf8de5b64664ed893,0x2f5b10e8fe902295c9f88e60bff2e566a1f5eacf,0xf6b392b13cb9bf528ea44065812e5e6eb97d7227,5000000000000000000000,0x381862670dc6c22e9f47c01ad2d8eaa08a4bfb3b70d7b524945fe5af99becc18,46,6000001
0xf5b0a3efb8e8e4c201e2a935f110eaaf3ffecb8d,0x45969056002faf220e505bcd39fee1d1a7c8ab15,0x377df8aef956b9e47f8acb09f6e80196f37d148d,3241,0x03a717362da048252a16189736243e58b41361cba0e1a3d6b83e28f03362a8c5,48,6000001
